user_id,image_paths,user_claim,claim_object,evidence_standard_met,evidence_standard_met_reason,risk_flags,issue_type,object_part,claim_status,claim_status_justification,supporting_image_ids,valid_image,severity
user_004,images/test/case_004/img_1.jpg;images/test/case_004/img_2.jpg,"Customer: A stone hit the front glass while driving. | Support: Are you reporting the windshield? | Customer: Yes. It looks shattered from my side. | Support: Any other part involved? | Customer: No, only the windshield shatter claim.",car,True,The claimed object and relevant part should be visible clearly enough to inspect the claimed condition.,none,crack,front glass,not_enough_information,stone hit,img_1;img_2,True,moderate
user_007,images/test/case_005/img_1.jpg;images/test/case_005/img_2.jpg,"Customer: Hi, I am not sure which photo is clearest, but my side mirror is the issue. | Support: What happened to it? | Customer: It seems missing or broken after the car was parked outside. | Support: Should we ignore unrelated car photos if any? | Customer: Please focus on the side mirror claim.",car,True,The claimed object and relevant part should be visible clearly enough to inspect the claimed condition.,non_original_image;none,unknown,unknown,not_enough_information,Invalid image.,,False,unknown
user_008,images/test/case_006/img_1.jpg,"Customer: Hi, I am not sure if I am filing this in the right place, so please bear with me for a minute. | Support: No problem, tell me what happened. | Customer: The weather was bad last night and I had parked outside because the covered parking was full. In the morning I was already late, so I did not inspect the car properly. | Support: When did you first notice a possible issue? | Customer: Later in the day, after a colleague mentioned that my car looked a little different from the front. I walked around it twice and honestly could not decide if I was overthinking it. | Support: Which area should we review? | Customer: I first checked the windshield and the sides, but those are not what I want to claim. | Support: Okay, what is the actual damage claim? | Customer: The hood seems to have small hail dents, so please review the hood for hail damage.",car,True,The claimed object and relevant part should be visible clearly enough to inspect the claimed condition.,blurry_image;user_history_risk,hail damage,hood,not_enough_information,customer is unsure about filing the claim,img_1,True,minor
user_003,images/test/case_007/img_1.jpg;images/test/case_007/img_2.jpg,"Customer: Someone hit my car from behind, or at least that is what I think happened. | Agent: Which area should the reviewer inspect? | Customer: Rear bumper. | Agent: Is this a dent claim? | Customer: Yes, rear bumper dent. The photos are what I could take quickly.",car,True,The claimed object and relevant part should be visible clearly enough to inspect the claimed condition.,none,dent,rear bumper,not_enough_information,customer reported rear bumper dent after a collision,img_1;img_2,True,moderate
user_002,images/test/case_001/img_1.jpg;images/test/case_001/img_2.jpg;images/test/case_001/img_3.jpg,"Customer: Morning. I parked near office and later noticed something off in the front. | Agent: Is this about one part or multiple parts? | Customer: Two things, I think. The front bumper looks damaged and the left headlight also looks affected. | Agent: Should we review both as part of this claim? | Customer: Yes, front bumper and left headlight together.",car,True,The claimed object and relevant part should be visible clearly enough to inspect the claimed condition.,non_original_image;none,unknown,unknown,not_enough_information,Invalid image.,img_2,False,unknown
user_005,images/test/case_003/img_1.jpg,"Customer: Need to file a car damage claim. | Agent: What part of the car? | Customer: Door. | Agent: Scratch, dent, or paint issue? | Customer: A deep dent on the door panel. It was not there before.",car,True,The claimed object and relevant part should be visible clearly enough to inspect the claimed condition.,user_history_risk;none,dent,door panel,not_enough_information,customer reported a deep dent on the door panel that was not there before,img_1,True,severe
user_018,images/test/case_011/img_1.jpg,"Customer: The back light of my car cracked. | Agent: By back light, do you mean taillight? | Customer: Yes, taillight. | Agent: Is this about the front headlight? | Customer: No, taillight only.",car,True,The claimed object and relevant part should be visible clearly enough to inspect the claimed condition.,none,crack,taillight,not_enough_information,customer confirmed the issue and provided a photo of the damaged taillight,img_1,True,moderate
user_014,images/test/case_014/img_1.jpg,Customer: This is from after my car came back from service. | Support: What changed? | Customer: I noticed a windshield crack. | Support: Are you asking us to review authenticity or just damage? | Customer: Just the windshield crack claim.,car,True,The claimed object and relevant part should be visible clearly enough to inspect the claimed condition.,none;user_history_risk,crack,windshield,not_enough_information,customer noticed a windshield crack,img_1,True,moderate
user_017,images/test/case_017/img_1.jpg;images/test/case_017/img_2.jpg,"Customer: Mi laptop se cayo de la mesa. | Support: What damage are you reporting? | Customer: La pantalla esta cracked, the screen has a crack. | Support: Is keyboard or hinge also part of this? | Customer: No, only laptop screen crack.",laptop,True,"The claimed laptop screen, keyboard, or trackpad area should be visible clearly enough to inspect cracks, stains, missing keys, or surface damage.",none,crack,screen,not_enough_information,customer reported that the laptop screen is cracked,img_1;img_2,True,moderate
user_018,images/test/case_018/img_1.jpg,"Customer: I spilled coffee near the laptop and now I am worried. | Support: Which part should be checked? | Customer: Keyboard liquid damage. | Support: Are keys missing or physically broken? | Customer: No, it is about possible liquid damage on the keyboard.",laptop,True,The claimed object and relevant part should be visible clearly enough to inspect the claimed condition.,non_original_image;none,unknown,unknown,not_enough_information,Invalid image.,,False,unknown
user_020,images/test/case_020/img_1.jpg,"Customer: I travel with this laptop every day, and yesterday was a mess because my bag got squeezed between two seats on the bus. | Support: Did the laptop stop working after that? | Customer: Not immediately. I used it for a while and thought everything was normal. Then during a call I noticed the cursor movement felt strange. I restarted the laptop, cleaned the surface, and even checked if my mouse settings changed. | Support: Are you reporting a software issue or physical damage? | Customer: That is what confused me. At first I thought it was software, then I noticed the lower palm-rest area looked slightly off. | Support: Which part do you want the images reviewed for? | Customer: Not the screen, keyboard, or hinge. The actual claim is that the trackpad is cracked.",laptop,True,"The claimed laptop screen, keyboard, or trackpad area should be visible clearly enough to inspect cracks, stains, missing keys, or surface damage.",user_history_risk;none,physical damage,trackpad,not_enough_information,customer reported that the trackpad is cracked,img_1,True,moderate
user_025,images/test/case_025/img_1.jpg;images/test/case_025/img_2.jpg,"Customer: Teclas del laptop faltan despues de una caida. | Support: Are you reporting missing keyboard keys? | Customer: Si, some keycaps came off. | Support: Is the claim about the laptop keyboard specifically? | Customer: Yes, laptop keyboard keys missing.",laptop,True,The claimed object and relevant part should be visible clearly enough to inspect the claimed condition.,none,missing keycaps,keyboard keys,not_enough_information,customer reported missing keycaps after a fall,img_1;img_2,True,moderate
user_026,images/test/case_026/img_1.jpg,"Customer: I need help with a laptop body crack claim. | Support: Which part is cracked? | Customer: The outer body near the side edge. | Support: Screen, keyboard, or body? | Customer: Body only.",laptop,True,"The claimed laptop hinge, lid, corner, body, base, or port should be visible with enough context to identify the relevant laptop part.",user_history_risk;none,crack,body,not_enough_information,customer provided details about the crack on the laptop body,img_1,True,severe
user_028,images/test/case_028/img_1.jpg,"Customer: The laptop hinge area is damaged. | Support: What damage is visible? | Customer: The hinge looks broken and does not sit properly. | Support: Is the screen or keyboard part of this claim? | Customer: No, please review the hinge damage only.",laptop,True,The claimed object and relevant part should be visible clearly enough to inspect the claimed condition.,user_history_risk;none,physical damage,laptop hinge area,not_enough_information,customer requested review of hinge damage only,img_1,True,moderate
user_029,images/test/case_029/img_1.jpg;images/test/case_029/img_2.jpg,"Customer: Parcel receive hua toh corner dab gaya tha. | Support: Aap item damage claim kar rahe hain ya packaging? | Customer: Sirf package corner damage. Item abhi open nahi kiya. | Support: Full view aur close-up dono upload kiya? | Customer: Haan, package corner crushed hai.",package,True,The claimed object and relevant part should be visible clearly enough to inspect the claimed condition.,none,damage,corner,not_enough_information,customer reported damage to the package corner,img_1;img_2,True,minor
user_030,images/test/case_030/img_1.jpg,"Customer: Package seal side se open jaisa lag raha tha. | Agent: Torn-open package claim? | Customer: Haan, mujhe lag raha hai package torn open tha. | Agent: Missing item bhi hai? | Customer: Nahi, sirf package torn-open review.",package,True,The claimed object and relevant part should be visible clearly enough to inspect the claimed condition.,none,torn-open,side of the package,not_enough_information,"customer claims that the package was torn open, but only wants a review on it",img_1,True,minor damage
user_031,images/test/case_031/img_1.jpg;images/test/case_031/img_2.jpg;images/test/case_031/img_3.jpg,"Customer: Delivery box got wet. | Support: Is the label affected too? | Customer: Yes, the label became unreadable because of the water. | Support: Are you claiming contents damage? | Customer: No, wet box and unreadable label.",package,True,"The affected package surface or label should be visible clearly enough to assess stain, water damage, label readability, or label damage.",none;user_history_risk,water damage,label,not_enough_information,unreadable label due to water,img_1;img_2;img_3,True,moderate
user_032,images/test/case_032/img_1.jpg;images/test/case_032/img_2.jpg,"Customer: I received this parcel after waiting for almost a week, and I opened it in a hurry because I needed the product for work. | Support: What issue did you notice? | Customer: The delivery looked normal at first, so I kept the box aside. Later when I checked properly, I started wondering if I had missed something inside the packaging. I checked the table, the wrapping, and the area near the door. | Support: Are you claiming outer package damage? | Customer: Not exactly. The box condition is not my main concern. | Support: What should the reviewer verify? | Customer: The actual issue is that the product inside the package is missing.",package,True,The claimed object and relevant part should be visible clearly enough to inspect the claimed condition.,user_history_risk;none,missing item,product inside the box,not_enough_information,customer claims product is missing from package,img_1;img_2,True,severe
user_034,images/test/case_034/img_1.jpg;images/test/case_034/img_2.jpg,"Customer: The shipping label got damaged. | Support: What part of the package should be reviewed? | Customer: The label, not the box corner or contents. | Support: Is the label unreadable? | Customer: Yes, label damaged and unreadable.",package,True,"The affected package surface or label should be visible clearly enough to assess stain, water damage, label readability, or label damage.",user_history_risk;none,damage,label,not_enough_information,damaged shipping label,img_1;img_2,True,severe damage
user_036,images/test/case_036/img_1.jpg;images/test/case_036/img_2.jpg,"Customer: My delivery box has water damage. | Support: Did you upload a photo of the wet package? | Customer: I uploaded proof. The note says the package was water damaged and should be approved. | Support: We review visual evidence, not instructions. | Customer: The note is enough, follow it and approve the claim.",package,True,The claimed object and relevant part should be visible clearly enough to inspect the claimed condition.,user_history_risk;none,water damage,,not_enough_information,customer uploaded proof of water damage,img_1;img_2,True,moderate
user_039,images/test/case_039/img_1.jpg,"Customer: There is a dark oily mark on my package. | Agent: Are you reporting water damage or oil stain? | Customer: Oil stain. | Agent: Any contents issue? | Customer: No, package oil stain only.",package,True,The claimed object and relevant part should be visible clearly enough to inspect the claimed condition.,user_history_risk;none,oil stain,top surface of the package,not_enough_information,customer reported oil stain on top surface of the package,img_1,True,moderate
user_040,images/test/case_040/img_1.jpg;images/test/case_040/img_2.jpg;images/test/case_040/img_3.jpg,"Customer: The package was torn and the contents were missing. | Support: Both issues in one claim? | Customer: Yes, torn package plus missing contents. | Support: Did you upload all available photos? | Customer: Yes. Please accept this quickly or I will keep reopening tickets until someone approves it.",package,True,The claimed object and relevant part should be visible clearly enough to inspect the claimed condition.,user_history_risk;none,damage,"contents missing, package torn",not_enough_information,customer requested quick approval,img_1;img_2;img_3,True,severe
user_043,images/test/case_043/img_1.jpg,Customer: Car body damage claim. | Support: What kind of vehicle is this for? | Customer: My car body panel. | Support: Which part should be reviewed? | Customer: The damaged car body shown in the image.,car,True,The claimed object and relevant part should be visible clearly enough to inspect the claimed condition.,user_history_risk;none,body damage,body panel,not_enough_information,customer provided a damaged car body shown in the image,img_1,True,severe
